Dataset	ScanNumber	AGC	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	MS2 Isolation Width	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)	Source Temp (°C)
367029	80	Predicted	1000.000	4	1	1.37	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=24eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 577.13@hcd45.00 [100.00-2000.00]	2.21	0.79	159.91
367029	81	Predicted	1000.000	5	1	1.37	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=29eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 684.20@hcd45.00 [100.00-2000.00]	2.21	0.79	159.94
367029	82	Predicted	1000.000	6	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=13eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 318.83@hcd45.00 [100.00-1925.00]	2.21	0.79	159.94
367029	83	Predicted	1000.000	7	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=18eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 423.76@hcd45.00 [100.00-2000.00]	2.21	0.78	160.09
367029	84	Predicted	1000.000	8	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=13eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 316.80@hcd45.00 [100.00-1915.00]	2.21	0.78	160.09
367029	85	Predicted	1000.000	9	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=28eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 653.76@hcd45.00 [100.00-2000.00]	2.21	0.75	160.03
367029	86	On	132.435	1	0	0.69	1	371.1017	0	T=1e6 PvR=2e4 iWf	MCal=9h RF=2300V TmpDiff	30000	47492158.701	2215654.654		FTMS + p NSI Full ms [300.00-1800.00]	2.21	0.80	159.94
367029	87	Predicted	1000.000	2	1	1.42	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=15eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 363.25@hcd45.00 [100.00-2000.00]	2.21	0.80	159.94
367029	88	Predicted	1000.000	3	1	1.36	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=15eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 357.30@hcd45.00 [100.00-2000.00]	2.21	0.76	159.88
367029	89	Predicted	1000.000	4	1	1.38	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=18eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 430.89@hcd45.00 [100.00-2000.00]	2.21	0.76	159.88
367029	90	Predicted	1000.000	5	1	1.35	0	0	2.5	T=5e4 iWf	MCal=9h RF=1180V HCD=17eV TmpDiff	7500	47492380.243	2215675.326	hcd	FTMS + c NSI d Full ms2 399.25@hcd45.00 [100.00-2000.00]	2.21	0.77	159.91
