Dataset	ScanNumber	AGC	Micro Scan Count	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	MS2 Isolation Width	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)	Source Temp (°C)
323682	969	On	3	0.813	1	0	2.57	2	443.2775	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.65	159.79
323682	970	Predicted	4	0.311	2	1	0.40	3	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 464.91@cid35.00 [115.00-1405.00]	1.81	0.60	160.15
323682	971	Predicted	4	0.700	3	1	0.42	2	807.3734	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 807.37@cid35.00 [210.00-1625.00]	1.81	0.60	160.15
323682	972	Predicted	4	1.679	4	1	0.41	2	717.3689	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 717.37@cid35.00 [185.00-1445.00]	1.81	0.60	160.15
323682	973	Predicted	4	1.397	5	1	0.39	2	557.8126	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 557.81@cid35.00 [140.00-1130.00]	1.81	0.62	159.85
323682	974	Predicted	4	0.431	6	1	0.34	2	443.2776	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 444.28@cid35.00 [110.00-900.00]	1.81	0.62	159.85
323682	975	Predicted	4	7.165	7	1	0.49	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 757.40@cid35.00 [195.00-2000.00]	1.81	0.62	159.85
323682	976	Predicted	4	9.983	8	1	0.50	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 893.47@cid35.00 [235.00-2000.00]	1.81	0.62	159.85
323682	977	Predicted	4	7.347	9	1	0.42	2	660.3444	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 662.35@cid35.00 [170.00-1335.00]	1.81	0.62	159.85
323682	978	Predicted	4	4.978	10	1	0.49	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 669.37@cid35.00 [170.00-2000.00]	1.81	0.61	160.03
323682	979	Predicted	4	5.902	11	1	0.49	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 791.92@cid35.00 [205.00-2000.00]	1.81	0.61	160.03
323682	980	On	3	0.851	1	0	2.57	2	443.2776	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.61	160.03
323682	981	Predicted	4	0.363	2	1	0.36	2	538.2904	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 538.29@cid35.00 [135.00-1090.00]	1.81	0.68	159.85
323682	982	Predicted	4	0.758	3	1	0.38	2	609.3015	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 609.30@cid35.00 [155.00-1230.00]	1.81	0.68	159.85
323682	983	Predicted	4	4.274	4	1	0.40	2	654.8394	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 654.84@cid35.00 [170.00-1320.00]	1.81	0.64	159.97
323682	984	Predicted	4	2.908	5	1	0.42	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 478.30@cid35.00 [120.00-1445.00]	1.81	0.64	159.97
